,name,day,time,statement,topics
481,Council of Black Students in Administration,2,1900,"Our mission is to Inspire, Enable and Support minority students to become better professionals.","{'Academic/College', 'Ethnic/Cultural', 'Special Interest', 'Columbus'}"
482,Council of Graduate Students,5,1530,The Council of Graduate Students (CGS) is the representative body for all students enrolled in graduate programs at The Ohio State Universit...,"{'Columbus', 'Governance Organizations', 'Awareness/Activism'}"
483,Council of Graduate Women in Computer Science,3,700,"In GWCS, we aim to promote and diversify the graduate program in computer science by encouraging more female undergrads to pursue a graduate...","{'Academic/College', 'Columbus', 'Awareness/Activism'}"
484,Council on Minority Political Affairs,1,1700,The purpose of COMPA is to create a space that caters towards the advancement and full and equal representation of minority students in the ...,"{'Academic/College', 'Ethnic/Cultural', 'Columbus', 'Community Service/Service Learning'}"
485,Counselors for Social Justice at The Ohio State University,3,700,Counselors for Social Justice works to promote social justice in our society through confronting oppressive systems of power and privilege t...,"{'Community Service/Service Learning', 'Special Interest', 'Columbus', 'Awareness/Activism'}"
486,Crazy Cool Crochet Club,3,700,Create a space for people to explore their creativity and appreciate the art of garment making through crochet.,"{'Columbus', 'Creative and Performing Arts', 'Community Service/Service Learning'}"
487,Criminal Justice and Re-entry Initiative,4,1830,We will generate solutions based on a transformative justice framework and advocate for programming and practices that work and provide heal...,"{'Community Service/Service Learning', 'Columbus', 'Awareness/Activism'}"
488,CRIS Community Connectors at Ohio State,1,1900,"CRIS Community Connectors at Ohio State aims to establish a campus presence for the Community Refugee and Immigration Services, a non-profit...","{'Ethnic/Cultural', 'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
489,The Crohn's and Colitis Foundation at The Ohio State University,4,1730,"The Crohn's and Colitis Foundation at The Ohio State University shall spread awareness about Inflammatory Bowel Diseases (IBD), such as Croh...","{'Community Service/Service Learning', 'Columbus', 'Awareness/Activism'}"
490,Crops and Soils Club,3,700,Promoting interest in crops and soils and the agriculture industry.,"{'Academic/College', 'Special Interest', 'Columbus'}"
491,CrossSports,3,1900,"CrossSports’ purpose is to come alongside, resource, and encourage athletes’ growth in Christ. We will help Ohio State student-athletes conn...","{'Community Service/Service Learning', 'Columbus', 'Religious/Spiritual', 'Sports and Recreation'}"
492,Crosswalk Outreach to the Homeless,0,1200,"Crosswalk Outreach to the Homeless strives to give friendship, aid, camaraderie, and basic human dignity to our brothers and sisters living ...","{'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
493,Cru at Ohio State,4,2000,Cru at Ohio State is an interdenominational student Christian organization seeking to provide a spiritual environment for students desiring ...,"{'Community Service/Service Learning', 'Columbus', 'Awareness/Activism', 'Religious/Spiritual'}"
494,Crypto Club at The Ohio State University,3,2000,Our mission is to provide students with the opportunity to learn and communicate about the world of cryptocurrency. We aim to learn more abo...,"{'Special Interest', 'Columbus', 'Technology'}"
495,Cryptocurrency and Blockchain Investment Club,1,2000,The purpose of CBIC is to offer students the opportunity to explore globalizing trends that are disrupting and changing industries. Our orga...,"{'Academic/College', 'Columbus', 'Technology'}"
496,CSCA at Ohio State,3,700,CSCA at Ohio State is the student organization of visual communication designers at The Ohio State University Department of Design. The orga...,"{'Academic/College', 'Columbus', 'Creative and Performing Arts'}"
497,CSE/CIS Peer Mentors,3,700,CSE/CIS Peer Mentors is an organization to provide Computer Science & Engineering (CSE) and Computer Information Science (CIS) upperclassmen...,"{'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
498,Culinary Association,6,3308,"Experience and explore culture, nutrition, and healthy living through collaborative events around food.","{'Ethnic/Cultural', 'Special Interest', 'Columbus'}"
499,Cultivate Columbus,3,700,The purpose of the Community Garden Club is to connect Ohio State students and the larger Columbus community with the resources to start and...,"{'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Awareness/Activism'}"
500,Cultivating Change at Ohio State,3,700,"The Ohio State University chapter of Cultivating Change aims to provide a safe, inclusive network for students who are interested in food, a...","{'Academic/College', 'Columbus', 'Awareness/Activism'}"
501,"Cultural Awareness, Representation, and Education",3,700,"Cultural Awareness, Representation, and Education (CARE) seeks to enhance medical training by bolstering cultural competency among the next ...","{'Ethnic/Cultural', 'Columbus', 'Awareness/Activism'}"
502,"Cultural Awareness, Respect, and Equity Rx",5,1130,"CARE Rx is a student run organization that is committed to promoting an academically enriching and supportive environment, allowing all stud...","{'Academic/College', 'Ethnic/Cultural', 'Columbus', 'Awareness/Activism'}"
503,Cultures and Travel Club,3,700,"Cultures and Travel Club was created to bring people together to celebrate unique festivals, holidays and traditions with the local and inte...","{'Ethnic/Cultural', 'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Awareness/Activism'}"
504,The CVM Animal Behavior & Welfare Club at The Ohio State University,3,700,Our mission is to educate veterinary students with the most up to date information on animal behavior and welfare and how to incorporate tha...,"{'Academic/College', 'Special Interest', 'Columbus'}"
505,CVM Class of 2022 Student Government at The Ohio State University,3,700,Our organization exists to serve the needs of the OSU CVM Class of 2022. We will host events that serve to enhance the educational and socia...,"{'Governance Organizations', 'Sports and Recreation', 'Special Interest', 'Columbus', 'Academic/College'}"
506,Cyber Security Club,2,1900,"Our purpose is to promote cyber and information security across the university community, teach the different tools used in both defensive a...","{'Academic/College', 'Special Interest', 'Columbus', 'Technology'}"
507,Daebak,0,1800,Daebak is a vocal performance group that focuses on advocating the education and appreciation of different Asian cultures through music. Wit...,"{'Ethnic/Cultural', 'Special Interest', 'Columbus', 'Creative and Performing Arts'}"
508,Dance Coalition at The Ohio State University,4,2939,The purpose of this organization is to show how various dance forms from different cultures can merge.  Dancers will learn and combine eleme...,"{'Ethnic/Cultural', 'Columbus', 'Creative and Performing Arts', 'Sports and Recreation'}"
509,Dance Connection,3,700,Dance Connection is a multi-genre dance organization at Ohio State that provides performance opportunities to students and community members...,"{'Special Interest', 'Columbus', 'Creative and Performing Arts'}"
510,Dance Irregulars,0,2939,The purpose of Dance Irregulars is to provide a dance community that can provide hip-hop dance workshops for beginner/intermediate/advanced ...,"{'Special Interest', 'Columbus', 'Creative and Performing Arts', 'Sports and Recreation'}"
511,Dance of the Soul from China,5,1930,"""Dance is the art of the Soul."" People from different culture, with different technique skill levels, can all dance together if he/she has t...","{'Ethnic/Cultural', 'Creative and Performing Arts', 'Sports and Recreation', 'Special Interest', 'Columbus'}"
512,Dancers in Graduate School,3,1200,"We aim to provide resources and funding for creative and scholarly research, performances, and presentations. We also will provide a platfor...","{'Academic/College', 'Special Interest', 'Columbus', 'Creative and Performing Arts'}"
513,DanceSport at The Ohio State University - Social Club,0,1300,The primary purpose of DanceSport at Ohio State - Social Club is to promote the appreciation and recognition of ballroom dancing as a positi...,"{'Special Interest', 'Columbus', 'Creative and Performing Arts'}"
514,DanceSport at The Ohio State University - Sport Club,4,2030,The primary purpose of DanceSport at OSU - Competition Team is to promote the appreciation and recognition of ballroom dancing as a positive...,"{'Special Interest', 'Columbus', 'Creative and Performing Arts', 'Sports and Recreation'}"
515,Data Privacy Club,3,700,"To raise awareness and understand issues of data privacy in the legal field through discussion, certification, and professional development....","{'Technology', 'Academic/College', 'Columbus', 'Awareness/Activism'}"
516,Data Science for Scientists Club,2,1130,"--To promote data science literacy among fellow researchers
--To introduce fellow scientists to basic ideas of programming, data analysis, a...","{'Academic/College', 'Special Interest', 'Columbus', 'Technology'}"
517,The Deaf-Hearing Club at The Ohio State University,1,1930,"To bring together people of all ages and all levels of fluency in American Sign Language, within and outside of The Ohio State University, t...","{'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Awareness/Activism'}"
518,Decision Psychology,5,1400,Decision Psychology is Graduate Student interest group for students with an interest in decision making.,"{'Academic/College', 'Special Interest', 'Columbus'}"
519,Defend Our Future,3,700,It is our mission to engage the student body through climate events and activities to encourage and inspire our campus' youth to take an act...,"{'Journalism', 'Awareness/Activism', 'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Media', 'and Creative Writing'}"
520,Delight College Ministries,3,700,The heart of Delight Ministries is to provide an environment for women to vulnerably share about how Christ has been at work in their lives....,"{'Community Service/Service Learning', 'Special Interest', 'Columbus', 'Religious/Spiritual'}"
521,Delta Chi Fraternity at The Ohio State University,3,700,"To promote friendship, develop character, advance justice, and assist in the acquisition of a sound education.","{'Social Fraternities/Sororities', 'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
522,Delta Gamma,1,1815,"Delta Gamma offers to women of all ages a rich heritage, a continuity based on sound and tested principles of personal integrity, personal r...","{'Social Fraternities/Sororities', 'Columbus', 'Community Service/Service Learning'}"
523,Delta Kappa Epsilon Fraternity,3,700,DKE strives to develop a culture and an expectation of undergraduate chapters who perform in the top tier of fraternities at their instituti...,"{'Social Fraternities/Sororities', 'Academic/College', 'Columbus'}"
524,Delta Omega Kappa,1,2000,"The objectives of the sorority are to bring together students in
medically related majors, to provide them with the knowledge, motivation, a...","{'Social Fraternities/Sororities', 'Academic/College', 'Columbus'}"
525,"Delta Phi Lambda Sorority, Inc.",1,1930,"Delta Phi Lambda Sorority, Inc.advocates Asian awareness, empowers women leaders through its values-based programs, and forges Everlasting S...","{'Ethnic/Cultural', 'Social Fraternities/Sororities', 'Community Service/Service Learning', 'Columbus', 'Awareness/Activism'}"
526,"Delta Phi Omega Sorority, Inc.",3,700,"The organization will host academic, service, social and cultural events. The purpose of the organization is to empower women and promote So...","{'Social Fraternities/Sororities', 'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
527,Delta Sigma Delta Dental Fraternity,3,700,"An international dental fraternity that brings together the leaders of the profession to further excellence in the ethical, professional and...","{'Social Fraternities/Sororities', 'Academic/College', 'Columbus'}"
528,Delta Sigma Phi,1,1900,"The Delta Sigma Phi Fraternity in convention assembled declares and affirms the following principles:

That the belief in God is essential t...","{'Social Fraternities/Sororities', 'Columbus', 'Community Service/Service Learning'}"
529,Delta Sigma Pi,4,1930,"Delta Sigma Pi is a professional fraternity organized to foster the study of business in universities; to encourage scholarship, social acti...","{'Academic/College', 'Special Interest', 'Columbus', 'Community Service/Service Learning'}"
530,"Delta Sigma Theta Sorority, Inc.",0,830,"Delta Sigma Theta Sorority, Inc. is dedicated to sisterhood, scholarship, and service.  We provide service to the university community, the ...","{'Social Fraternities/Sororities', 'Columbus'}"
531,"Delta Tau Delta Fraternity,  Beta Phi Chapter",1,1830,The Beta Phi chapter of Delta Tau Delta International Fraternity is dedicated to the continual ascension towards greatness and superiority a...,"{'Social Fraternities/Sororities', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Honoraries/Honor Societies'}"
532,Delta Theta Sigma Agricultural Fraternity,1,1900,"We the Members of Delta Theta Sigma Fraternity,  In order to promote agriculture, to secure a higher degree of scholarship, to foster the sp...","{'Social Fraternities/Sororities', 'Special Interest', 'Columbus'}"
533,Delta Zeta,1,1900,"The purpose of this sorority shall be to unite its members in the bonds of sincere and lasting friendship, to stimulate one another in the p...","{'Social Fraternities/Sororities', 'Columbus'}"
534,The Dementia Project: Musical Memories,3,700,"We are a student organization with 3 missions: Music, Education, and Memories. We are proud to have worked with lead physicians and research...","{'Creative and Performing Arts', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Awareness/Activism'}"
535,Dental Anesthesia Club for Students,4,1145,"The goals of the club are to help students develop a working knowledge of basic anesthesia principles, provide opportunities to explore the ...","{'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
536,Dental Entrepreneur Society at The Ohio State University College of Dentistry,3,1200,Dental Entrepreneur Society at The Ohio State University is established to provide educational and networking opportunities to dental studen...,"{'Academic/College', 'Special Interest', 'Columbus'}"
537,Dental Hygiene Year 3 BSDH,3,700,"Our organization's purpose statement consists of objectives such as food fundraising opportunities, clothing/apparel opportunities, and more...","{'Academic/College', 'Columbus', 'Governance Organizations'}"
538,Dental Pride Alliance,3,700,The Dental Pride Alliance (hereafter referred to as DPA) of The Ohio State University College of Dentistry (OSUCoD) is a professional studen...,"{'Ethnic/Cultural', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Awareness/Activism'}"
539,Dermatology Interest Group,5,1200,The dermatology interest group will provide all medical students with the opportunity to learn more about the field of dermatology and conne...,"{'Academic/College', 'Columbus'}"
540,Design for 90,3,700,Design for 90 aims to provide students with an opportunity to be involved in a collaborative learning environment and put to use their skill...,"{'Academic/College', 'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
541,Design ThinkTank,4,1730,"At Design ThinkTank, our mission is to expose a diverse group of students to the creative problem solving framework of Design Thinking and e...","{'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Technology'}"
542,"Design, Develop, Deploy. The Entrepreneurial Startup Club",1,2000,D3 provides an environment where driven students can come together into groups to build and launch a product in a semester.  Those accepted ...,"{'Academic/College', 'Special Interest', 'Columbus', 'Technology'}"
543,Design/Build/Fly,3,1800,The purpose of Design/Build/Fly is to create a radio controlled electric aircraft to compete in the annual AIAA Design/Build/Fly competition...,"{'Academic/College', 'Special Interest', 'Columbus', 'Technology'}"
544,Dhadkan,1,2000,To provide a South Asian A Cappella group that expresses their Asian American culture through music.,"{'Ethnic/Cultural', 'Columbus', 'Creative and Performing Arts'}"
545,The Diabetes Link,3,700,The College Diabetes Network’s mission is to provide innovative peer-based programs which connect and empower students and young professiona...,"{'Community Service/Service Learning', 'Ethnic/Cultural', 'Columbus', 'Awareness/Activism'}"
546,Diagnostic Radiology Interest Group,3,2200,The purpose of the Diagnostic Radiology Interest Group is to provide students in the OSU College of Medicine with an avenue to explore the m...,"{'Academic/College', 'Special Interest', 'Columbus'}"
547,Disability Advocacy Coalition - Medicine,3,700,The purpose of Disability Advocacy Coalition – Medicine (DAC-Med) is three-fold: 1) to increase inclusion in the field of medicine concernin...,"{'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Awareness/Activism'}"
548,Disability Studies Graduate Student Association,3,700,This organization is for those graduate students who are completing the interdisciplinary specialization in disability studies or who are in...,"{'Academic/College', 'Columbus', 'Awareness/Activism'}"
549,Disc Golf Club at Ohio State,3,700,Disc Golf Club at Ohio State promotes the sport of disc golf on campus and provides opportunities for students to play disc golf as well as ...,"{'Special Interest', 'Columbus', 'Sports and Recreation'}"
550,Disciples on Campus,3,700,"To help people gain an understanding of Jesus and Christianity as well as apply those principles through serving, fellowship, bible studies,...","{'Columbus', 'Religious/Spiritual'}"
551,Discord Club,3,700,To provide a digital safe space for students to socialize and seek advice from one another as well as bring students together as a community...,"{'Special Interest', 'Columbus', 'Technology'}"
552,DJ Club at Ohio State,3,700,"Founded in the spring of 2018, the purpose of DJ Club at Ohio State is to connect and educate DJ’s. We will host workshops to teach beginner...","{'Special Interest', 'Columbus', 'Creative and Performing Arts'}"
553,DMAX Club at The Ohio State University,3,700,Creating connections and conversations that matter to strengthen the mental health and emotional well-being of young people.,"{'Special Interest', 'Columbus', 'Awareness/Activism'}"
554,The Doctor of Optometry Private Practice Club,3,2200,The Doctor of Optometry Private Practice Club prepares optometry students to apply optometric education in the pursuit of building successfu...,"{'Academic/College', 'Special Interest', 'Columbus', 'Technology'}"
555,Doctor-In-Training,3,2100,We are a student-led organization that focuses on making the transition to clinical medicine easier for medical students. This organization ...,"{'Academic/College', 'Columbus'}"
556,Doctoral Student Organization in Social Work,3,700,"To provide resources to prepare Doctoral students to successfully matriculate through their Social Work programs, and to do intentional prog...","{'Community Service/Service Learning', 'Academic/College', 'Columbus', 'Awareness/Activism'}"
557,Doctorate of Physical Therapy Program at Ohio State,3,2200,The mission of the Physical Therapy Division of The Ohio State University is to represent its members and to advance the profession of physi...,"{'Academic/College', 'Columbus'}"
558,Doctors Without Borders/Medecins Sans Frontieres Friends of MSF Chapter at The Ohio State University,3,1830,"To raise money and awareness about the mission of Doctors Without Borders of delivering emergency aid to people affected by armed conflict, ...","{'Ethnic/Cultural', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Awareness/Activism'}"
559,Dr. J.H. Bias Black Affinity Group,3,700,The Dr. J.H. Bias Black Affinity Group hopes to strengthen and empower the Black community and foster diversity and inclusion of all student...,"{'Ethnic/Cultural', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Awareness/Activism'}"
560,Ducks Unlimited at The Ohio State University,3,1930,Ducks Unlimited at The Ohio State University gives students the opportunity to participate and volunteer in an organization designed to cons...,"{'Sports and Recreation', 'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Awareness/Activism'}"
561,Echo Chinese Student Organization,6,2939,Echo Chinese Student Organization (Echo) is a nonprofit registered student organization at the Ohio State University established by enthusia...,"{'Academic/College', 'Ethnic/Cultural', 'Columbus', 'Governance Organizations'}"
562,EcoCAR Challenge Team at The Ohio State University,3,700,The EcoCAR Team at the Ohio State University is a group of undergraduate and graduate students who convert a GM donated vehicle into a hybri...,"{'Academic/College', 'Columbus', 'Technology'}"
563,Ecological Engineering Society,3,700,"Ecological Engineering Society

Mission Statement: To to work with our community to advance ecological justice through community-led EcoE pr...","{'Academic/College', 'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
564,Economics Graduate Student Society,3,700,"The purpose of the Society is to foster community among graduate students of the Economics department, facilitate student-faculty-staff rela...","{'Academic/College', 'Special Interest', 'Columbus', 'Governance Organizations'}"
565,"Educational Philosophy, History, and Policy Graduate Student Group",3,700,"The purpose of EPHP is to bring together graduate students who major, or are professionally interested, in philosophy of education, history ...","{'Academic/College', 'Columbus'}"
566,"Edward S. ""Beanie"" Drake Student Leader Endowment Fund",3,700,The purpose of this scholarship is to provide funds that enable deserving students to participate in campus activities when need might other...,"{'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Honoraries/Honor Societies', 'Awareness/Activism'}"
567,Effective Altruism at Ohio State,3,700,"Effective Altruism at Ohio State aims to promote effective altruism in all its forms, including encouraging increased charitable donations a...","{'Community Service/Service Learning', 'Columbus', 'Awareness/Activism'}"
568,Electronics Club,1,1900,"The purpose of the Electronics Club is to:
A)	To promote education in the field of electronics
B)	To stimulate interest in the field of elec...","{'Academic/College', 'Special Interest', 'Columbus', 'Technology'}"
569,Elohist Bible Study,3,700,Elohist Bible Study Club aims to deliver comfort and warmheartedness of Mother to all students across campus.,"{'Community Service/Service Learning', 'Columbus', 'Religious/Spiritual'}"
570,Emergency Medicine Interest Group,3,700,The Emergency Medicine Interest Group is a group for medical students with a special interest in emergency medicine.  The EMIG will provide ...,"{'Academic/College', 'Special Interest', 'Columbus'}"
571,Emergency Medicine Ultrasound Community of Practice,3,700,"The Emergency Medicine Ultrasound Community of Practice hopes to unite medical students, residents, fellows, and faculty within a single Com...","{'Academic/College', 'Columbus'}"
572,EMIC: Graduate Student Interest Group for Expressive Culture,1,1600,"EMIC exists as a scholarly and social interest group for students involved in the study of expressive culture at the Ohio State University, ...","{'Creative and Performing Arts', 'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Academic/College'}"
573,Empower Mentoring,1,1900,"Empower Mentoring expands economic opportunity in the United States by equipping urban youth to believe in themselves, navigate the financia...","{'Academic/College', 'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
574,Empower Sports at The Ohio State University,3,700,Empower Sports at The Ohio State University’s mission is to harness the power of competition and teamwork in sports to build the self-confid...,"{'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
575,Empower Through Health at The Ohio State University,3,700,To improve healthcare access to a vulnerable population by strengthening local healthcare capacity and addressing root causes of poor mental...,"{'Community Service/Service Learning', 'Columbus', 'Awareness/Activism'}"
576,ENCompass: Empowering Neighborhoods of Columbus,3,1900,"1. To cultivate interdisciplinary student leadership through volunteer immersion experiences in the Columbus community.
2. To empower indivi...","{'Technology', 'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
577,Endo Club,5,1145,"To provide an informative, fun and relaxed setting for Ohio State's dental/hygiene students interested in endodontics. We plan to meet Thurs...","{'Academic/College', 'Special Interest', 'Columbus', 'Creative and Performing Arts'}"
578,Energy and Environmental Law Society,3,700,"The purposes of the Energy and Environmental Law Society shall be:

(1) To promote awareness of legal, policy, and regulatory issues that af...","{'Academic/College', 'Columbus', 'Governance Organizations', 'Awareness/Activism'}"
579,Engineering Society of Professional Excellence,2,1900,ESPE is the partner student organization with Engineering Career Services. We exist to help students connect with employers and develop skil...,"{'Academic/College', 'Special Interest', 'Columbus'}"
580,Engineers for a Sustainable World,3,700,"A world in which engineering fosters environmental, social, and economic sustainability to improve both the quality of life and the conditio...","{'Awareness/Activism', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Technology'}"
581,Engineers for Community Service,3,700,"We are a student organization at The Ohio State University, promoting life-long professionalism via educational experiences in the uses of e...","{'Technology', 'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
582,Engineers Without Borders at The Ohio State University,3,700,Engineers Without Borders (EWB) is an international organization that applies engineering solutions to aid in the development of underprivil...,"{'Special Interest', 'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
583,Engineers' Council,4,1900,"Serving as Ohio State's Engineering Student Organization Governance Body, the Engineers' Council represents the voice of the Students to Col...","{'Academic/College', 'Columbus', 'Governance Organizations', 'Technology'}"
584,English Graduate Organization,3,700,The English Graduate Organization (EGO) is the graduate student association that assures and expedites student involvement in English Depart...,"{'Creative and Performing Arts', 'Journalism', 'Columbus', 'Media', 'Academic/College', 'and Creative Writing'}"
585,English Undergraduate Organization,3,1830,The English Undergraduate Organization seeks to connect and support undergraduate students majoring or minoring in English at The Ohio State...,"{'Journalism', 'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Media', 'Academic/College', 'and Creative Writing'}"
586,Enlighten Anti-Human Trafficking,3,1800,"Enlighten mobilizes students to confront human trafficking and create a culture of compassion through on-campus awareness, direct community ...","{'Community Service/Service Learning', 'Columbus', 'Awareness/Activism'}"
587,ENT Interest Group,4,1800,"To promote and expose students to the field of Otolaryngology (ENT) through conferences, volunteerism, and discussion.","{'Academic/College', 'Special Interest', 'Columbus'}"
588,Entomology Graduate Student Association,3,700,To give students affiliated with The Ohio State University (OSU) Entomology department the opportunity to interact with each other and have ...,"{'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
589,Environmental Science Graduate Program Student Association,3,700,The Environmental Science Graduate Program Student Association (ESGP-SA) works to foster community and professional development in the ESGP....,"{'Academic/College', 'Columbus'}"
590,Environmental Sustainability Magazine,3,1900,The Environmental Sustainability Magazine (ESM) is a student organization that aims to enable OSU students to write their own articles conce...,"{'Journalism', 'Awareness/Activism', 'Special Interest', 'Columbus', 'Media', 'Academic/College', 'and Creative Writing'}"
591,Epigenetics Group at Ohio State/NCH,3,700,"We the members of CEG at Ohio State hereby associate ourselves to:
A.	Provide for the members a voice in matters affecting them in the Ohio ...","{'Academic/College', 'Special Interest', 'Columbus'}"
592,Epsilon Psi Epsilon,3,700,"The fraternity shall be known as Epsilon Psi Epsilon Fraternity, and shall have for its objectives the pursuit and cultivation of the practi...","{'Social Fraternities/Sororities', 'Academic/College', 'Columbus'}"
593,Epsilon Tau Pi Brotherhood of Eagle Scouts,2,1930,"We are dedicated to upholding the high ideals of the Eagle rank. These include the ideals of Honor, Loyalty, and Courage, as well as service...","{'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Honoraries/Honor Societies'}"
594,Eritrean & Ethiopian Student Organization,5,1800,To provide a space where students of Ethiopian and/or Eritrean descent -and those interested in the cultures of the two countries-can come t...,"{'Ethnic/Cultural', 'Columbus', 'Community Service/Service Learning'}"
595,Eta Kappa Nu,3,700,"To acknowledge the achievements of outstanding juniors, seniors, graduates, and faculty in Electrical and Computer Engineering, and to provi...","{'Academic/College', 'Columbus', 'Honoraries/Honor Societies'}"
596,Eta Sigma Delta,3,700,Eta Sigma Delta is the international hospitality and tourism management honor society that merits excellence in academics and professionalis...,"{'Columbus', 'Honoraries/Honor Societies'}"
597,The Ethical Endeavor: An Organization Considering the Ethical Implications of Scientific Advancement and Social Progression,1,1830,The Ethical Endeavor is an undergraduate-based organization (with a student-led journal) that serves as a conduit for discussing and present...,"{'Journalism', 'Special Interest', 'Columbus', 'Media', 'Academic/College', 'and Creative Writing'}"
598,Evolution and Ecology Club,3,1900,"The purpose of Evolution and Ecology Club is to enhance the academic experience of Ohio State University students, faculty, and staff with i...","{'Academic/College', 'Special Interest', 'Columbus'}"
599,Exercise and Nutrition Journal Club,3,700,The purpose of this group is to create an inclusive academic space to facilitate discussion of topics relating to exercise and nutrition in ...,"{'Special Interest', 'Columbus', 'Sports and Recreation'}"
600,Exercise is Medicine - On Campus Club @ The Ohio State University,4,1900,"EIM-OC's purpose is to promote physical activity as a vital sign of health. We encourage faculty, staff and students to work together to imp...","{'Academic/College', 'Special Interest', 'Columbus', 'Community Service/Service Learning'}"
601,Exercise Science Club,3,700,The Exercise Science Club at the Ohio State University will provide opportunities for extra-curricular and professional enhancement of the E...,"{'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
602,Exotic Animals in Private Practice,3,700,Our club is designated to specifically give veterinary students exposure and experience in the field of exotic animals in private practice. ...,"{'Academic/College', 'Special Interest', 'Columbus', 'Community Service/Service Learning'}"
603,EYEPOC,3,700,The purpose of EYEPOC is to provide a space for pre-optometry students of color at The Ohio State University to connect and support one anot...,"{'Ethnic/Cultural', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Awareness/Activism'}"
604,Eyes on Health,3,700,"Eyes on Health aims to better ourselves and the communities we serve through outreach, service, and education with a focus on health and vis...","{'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
605,EZ Living Investments,3,700,Our organization wants to teach other students about reliable stock investing tactics to enhance the prospects of their future and promote r...,"{'Academic/College', 'Special Interest', 'Columbus'}"
606,Fabulous Unique Neighborhood Community Council,1,1930,"To create an inclusive, respectful, and encouraging environment for residents of FUN’s jurisdiction and to offer residents opportunities for...","{'Columbus', 'Governance Organizations', 'Community Service/Service Learning'}"
607,Faith & Fitness,3,700,"Bringing glory to God through faith, fitness, and fellowship.

Our vision is to teach healthy living habits to encourage spiritual, mental, ...","{'Special Interest', 'Columbus', 'Religious/Spiritual', 'Sports and Recreation'}"
608,Faith Hope Love House of Prayer,0,6183,"To be a body of believers who love God with all our heart, soul, mind, and strength, and love our neighbors as ourselves. We will do this by...","{'Community Service/Service Learning', 'Special Interest', 'Columbus', 'Religious/Spiritual'}"
609,Faith Works Chinese Student Club,3,1940,"a. To promote the sharing of ideas, thoughts and values through discussions over social, cultural
and spiritual topics.
b. To represent stud...","{'Religious/Spiritual', 'Ethnic/Cultural', 'Columbus', 'Community Service/Service Learning'}"
610,Falun Dafa Practice Group,3,700,Falun Dafa is a self-cultivation practice based on the principle of Truthfulness - Compassion - Tolerance. We focus on developing one's char...,"{'Ethnic/Cultural', 'Columbus', 'Awareness/Activism', 'Religious/Spiritual'}"
611,Family Guy Club,3,700,"Our club is a safe space for all fans of the great TV show, Family Guy. Whether members want to take a break from their schoolwork, get some...","{'Creative and Performing Arts', 'Journalism', 'Special Interest', 'Columbus', 'Media', 'Technology', 'and Creative Writing'}"
612,Family Medicine Interest Group,3,2100,The purpose of the Family Medicine Interest Group (FMIG) at the Ohio State University College of Medicine is to promote the values and visio...,"{'Academic/College', 'Special Interest', 'Columbus'}"
613,Family Medicine Point-of-Care Ultrasound,3,700,"The specialty of family medicine has a wide breadth intended to provide comprehensive care to all body systems of patients of all ages, in a...","{'Academic/College', 'Special Interest', 'Columbus', 'Technology'}"
614,Fan Studies Student Association,3,700,The Fan Studies Student Association is a student-organized group primarily intended for graduate and advanced undergraduate students who spe...,"{'Journalism', 'Special Interest', 'Columbus', 'Media', 'Academic/College', 'and Creative Writing'}"
615,Fantasy Football Club at The Ohio State University,3,700,"To promote fantasy football within The Ohio State community. We want to help people win their leagues and provide a fun, open environment to...","{'Technology', 'Special Interest', 'Columbus', 'Sports and Recreation'}"
