,name,day,time,statement,topics
31,African Youth League,3,1900,To make the greater Ohio State community aware of the African Youth League. To foster an inclusive and conducive environment where individua...,"{'Ethnic/Cultural', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Awareness/Activism'}"
32,Africana Graduate Study Association,3,700,To foster an intellectual space for graduate students whose research work/interest revolves around Africana Studies for them to discuss thei...,"{'Academic/College', 'Special Interest', 'Columbus'}"
33,The Agribusiness Club,4,1900,"The purpose of this organization shall be: (a) To stimulate interest in and to provide information on the profession of agribusiness, and in...","{'Academic/College', 'Special Interest', 'Columbus'}"
34,"Agricultural Communication, Education, and Leadership - Graduate Student Association",3,700,The ACEL Graduate Student Association strives to extend opportunities to graduate students with the primary goal of development.  The organi...,"{'Academic/College', 'Special Interest', 'Columbus'}"
35,Agricultural Communicators of Tomorrow,3,1900,"The purposes of this organization shall be: Be a club where students who are interested in Agricultural Communications, whether that is thei...","{'Journalism', 'Columbus', 'Media', 'Academic/College', 'and Creative Writing'}"
36,Agricultural Education Society,3,700,"Practicing skills important to how people interact and learn about food, agriculture, and the environment.","{'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Awareness/Activism'}"
37,Agricultural Systems Management Club,3,1900,"The Agricultural Systems Management (ASM) Club strives to bring together ASM students and other interested students in the College of Food, ...","{'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
38,"Agricultural, Environmental, and Development Economics Graduate Student Association",3,700,To foster a greater sense of community and support within the AEDE Graduate program by providing a variety of social and educational opportu...,"{'Academic/College', 'Columbus'}"
39,Ahmadiyya Muslim Students Association,3,700,"To spread the message of the International Ahmadiyya Muslim Community through
activities and events, based on the motto, “Love for all, hatr...","{'Community Service/Service Learning', 'Columbus', 'Awareness/Activism', 'Religious/Spiritual'}"
40,Albanians at The Ohio State University,3,700,To bring together Ohio State students of Albanian/Kosovar background and those interested in learning about Albania and Kosovo. We want to c...,"{'Ethnic/Cultural', 'Special Interest', 'Columbus', 'Awareness/Activism'}"
41,The Alexander Hamilton Society at The Ohio State University,3,700,"The Alexander Hamilton Society (AHS) is an independent, non-partisan, not-for-profit organization dedicated to promoting constructive discus...","{'Academic/College', 'Special Interest', 'Columbus'}"
